tensor(2.0160, grad_fn=<NllLossBackward>)
tensor(1.8802, grad_fn=<NllLossBackward>)
tensor(1.7998, grad_fn=<NllLossBackward>)
tensor(1.7520, grad_fn=<NllLossBackward>)
tensor(1.7429, grad_fn=<NllLossBackward>)
tensor(1.7112, grad_fn=<NllLossBackward>)
tensor(1.6886, grad_fn=<NllLossBackward>)
tensor(1.6733, grad_fn=<NllLossBackward>)
tensor(1.6597, grad_fn=<NllLossBackward>)
tensor(1.6503, grad_fn=<NllLossBackward>)
tensor(1.6595, grad_fn=<NllLossBackward>)
tensor(1.6380, grad_fn=<NllLossBackward>)
tensor(1.6348, grad_fn=<NllLossBackward>)
tensor(1.6315, grad_fn=<NllLossBackward>)
tensor(1.6256, grad_fn=<NllLossBackward>)
tensor(1.6214, grad_fn=<NllLossBackward>)
tensor(1.6228, grad_fn=<NllLossBackward>)
tensor(1.6155, grad_fn=<NllLossBackward>)
tensor(1.6097, grad_fn=<NllLossBackward>)
tensor(1.6118, grad_fn=<NllLossBackward>)
tensor(1.6027, grad_fn=<NllLossBackward>)
tensor(1.6001, grad_fn=<NllLossBackward>)
tensor(1.5964, grad_fn=<NllLossBackward>)
tensor(1.5939, grad_fn=<NllLossBackward>)
tensor(1.6098, grad_fn=<NllLossBackward>)
tensor(1.5954, grad_fn=<NllLossBackward>)
tensor(1.5895, grad_fn=<NllLossBackward>)
tensor(1.5859, grad_fn=<NllLossBackward>)
tensor(1.5875, grad_fn=<NllLossBackward>)
tensor(1.5846, grad_fn=<NllLossBackward>)
tensor(1.5803, grad_fn=<NllLossBackward>)
tensor(1.5780, grad_fn=<NllLossBackward>)
tensor(1.5815, grad_fn=<NllLossBackward>)
tensor(1.5755, grad_fn=<NllLossBackward>)
tensor(1.5788, grad_fn=<NllLossBackward>)
tensor(1.5785, grad_fn=<NllLossBackward>)
tensor(1.5714, grad_fn=<NllLossBackward>)
tensor(1.5732, grad_fn=<NllLossBackward>)
tensor(1.5734, grad_fn=<NllLossBackward>)
tensor(1.5742, grad_fn=<NllLossBackward>)
tensor(1.5733, grad_fn=<NllLossBackward>)
tensor(1.5708, grad_fn=<NllLossBackward>)
tensor(1.5697, grad_fn=<NllLossBackward>)
tensor(1.5657, grad_fn=<NllLossBackward>)
tensor(1.5631, grad_fn=<NllLossBackward>)
tensor(1.5652, grad_fn=<NllLossBackward>)
tensor(1.5598, grad_fn=<NllLossBackward>)
tensor(1.5657, grad_fn=<NllLossBackward>)
tensor(1.5609, grad_fn=<NllLossBackward>)
tensor(1.5636, grad_fn=<NllLossBackward>)
