@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute feature_16 numeric
@Attribute feature_17 numeric
@Attribute feature_18 numeric
@Attribute feature_19 numeric
@Attribute feature_20 numeric
@Attribute feature_21 numeric
@Attribute feature_22 numeric
@Attribute feature_23 numeric
@Attribute feature_24 numeric
@Attribute feature_25 numeric
@Attribute feature_26 numeric
@Attribute feature_27 numeric
@Attribute feature_28 numeric
@Attribute feature_29 numeric
@Attribute feature_30 numeric
@Attribute feature_31 numeric
@Attribute feature_32 numeric
@Attribute feature_33 numeric
@Attribute feature_34 numeric
@Attribute feature_35 numeric
@Attribute feature_36 numeric
@Attribute feature_37 numeric
@Attribute feature_38 numeric
@Attribute feature_39 numeric
@Attribute feature_40 numeric
@Attribute feature_41 numeric
@Attribute feature_42 numeric
@Attribute feature_43 numeric
@Attribute feature_44 numeric
@Attribute feature_45 numeric
@Attribute feature_46 numeric
@Attribute feature_47 numeric
@Attribute feature_48 numeric
@Attribute feature_49 numeric
@Attribute feature_50 numeric
@Attribute feature_51 numeric
@Attribute feature_52 numeric
@Attribute feature_53 numeric
@Attribute feature_54 numeric
@Attribute feature_55 numeric
@Attribute feature_56 numeric
@Attribute feature_57 numeric
@Attribute feature_58 numeric
@Attribute feature_59 numeric
@Attribute feature_60 numeric
@Attribute feature_61 numeric
@Attribute feature_62 numeric
@Attribute feature_63 numeric
@Attribute class {FILE-TRANSFER_gate_SFTP_filetransfer.pcap,CHAT_facebookchatgateway.pcap,MAIL_gate_Email_IMAP_filetransfer.pcap,VIDEO_Youtube_Flash_Gateway.pcap}
@data
3325347879,167772687,443,36922,29,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,9.796869000000001,1e-05,0.11962800000000001,0.11972299999999997,0.10297200000000006,0.41322099999999995,0.32609100000000013,0.14754,0.06687799999999999,3.065939,0.32166099999999975,0.3061100000000003,0.34539600000000004,0.3207379999999995,0.31352400000000014,0.3087559999999998,0.07946900000000046,0.2081949999999999,0.06859600000000032,0.17259199999999986,0.1461969999999999,0.319515,0.30750800000000034,0.3634499999999994,0.3134320000000006,0.312049,0.3128799999999998,0.34341199999999894,0.19596700000000133,0.33734100000000034,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,597,597,1111,597,597,597,597,597,597,597,597,597,597,165,597,597,597,597,597,597,597,597,597,597,597,597,597,597,597,44.532124,1e-05,0.42953,0.0004369999999999652,0.00032599999999999296,0.21897700000000003,0.42562199999999994,3.265376,0.3289850000000003,0.32154599999999967,0.30724700000000027,0.344163,0.32103199999999976,0.313256,0.19054099999999963,0.1182610000000004,0.08220600000000022,0.20812399999999975,0.06774400000000025,0.31703299999999945,0.3195540000000001,0.30745800000000045,0.3633880000000005,0.31589499999999937,0.30968900000000055,0.5895199999999985,0.0697650000000003,0.19571100000000108,34.274764,0.5256469999999993,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,29,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,44.532567,1e-05,0.429562,0.00039600000000000746,0.0003070000000000017,0.21902500000000003,0.42563700000000004,3.2653190000000003,0.32908199999999965,0.3215490000000001,0.3071950000000001,0.344106,0.32111599999999996,0.31313999999999975,0.190658,0.11820800000000009,0.08223299999999956,0.20813100000000073,0.06784699999999955,0.31692300000000007,0.31956000000000007,0.307461,0.36355300000000046,0.31572199999999917,0.3096930000000011,0.5895139999999994,0.0696829999999995,0.19578500000000076,34.274744,0.5257660000000044,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,54,54,54,54,54,54,54,54,1514,54,54,54,54,54,54,54,54,54,54,54,1514,54,54,1514,1514,1514,1514,1514,1514,50.967510999999995,1e-05,0.11959399999999998,0.15719600000000006,0.06549299999999991,0.778539,0.10831199999999996,0.06688800000000006,3.065959,1.79929,0.6835180000000003,0.10840099999999975,1.9676079999999994,0.3046350000000011,0.5713629999999998,34.270407000000006,0.1553869999999975,0.15420499999999748,0.0648740000000032,0.8551409999999962,0.06454700000000457,2.799932999999996,1.223505000000003,0.3314669999999964,1.244607000000002,0.0024519999999981223,0.0002550000000027808,0.0019509999999982597,0.0008529999999993265,0.000945000000001528,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,29,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,6.740948999999993,1e-05,0.21615899999999755,0.44160600000000017,0.4943230000000014,0.04659299999999433,0.4835650000000058,0.4229689999999948,0.3704830000000001,0.4350769999999997,0.42813300000000254,0.3985839999999996,0.19682699999999897,0.1328940000000003,0.06589400000000012,0.37814699999999846,0.35199200000000275,0.06780700000000195,0.0002879999999976235,0.5594159999999988,0.38417100000000204,0.3971080000000029,0.46041699999999963,0.0018339999999952283,0.002101000000003239,0.00037299999999618194,0.001939000000000135,0.0006340000000051305,0.0009049999999959368,0.00041900000000083537,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,1111,597,597,597,597,597,597,597,597,597,597,165,597,597,597,597,597,597,597,597,597,597,165,247,679,165,1193,1111,165,6.741447999999998,1e-05,0.21604100000000415,0.4417019999999994,0.49443000000000126,0.04660299999999751,0.4834630000000004,0.4229780000000005,0.37048599999999965,0.43494799999999856,0.42813300000000254,0.39880099999999885,0.1967069999999964,0.13293600000000083,0.06588700000000358,0.3780220000000014,0.35201799999999395,0.06785700000000361,0.00037499999999823785,0.5593059999999994,0.384250999999999,0.3970020000000005,0.46011899999999883,0.002078000000004465,0.0026659999999978368,0.001961999999998909,0.0005780000000044083,0.0009389999999953602,0.00038800000000094315,0.0007140000000021018,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,0.014456000000002689,1e-05,0.0007660000000058176,0.000588000000000477,0.0007869999999954302,0.0005769999999998277,0.0005640000000042278,0.0005969999999990705,0.004478999999996347,8.900000000267028e-05,0.0009850000000000136,7.899999999949614e-05,0.00025300000000072487,7.199999999585316e-05,0.00021000000000270802,7.300000000043383e-05,0.0013199999999997658,7.300000000043383e-05,0.00021499999999718966,8.000000000407681e-05,0.0002119999999976585,9.899999999873899e-05,0.00020100000000411455,0.00011699999999592592,0.0012390000000053192,7.199999999585316e-05,0.0002210000000033574,8.899999999556485e-05,0.0002380000000030691,8.19999999990273e-05,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,29,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,0.01839700000000022,1e-05,0.0006900000000058526,0.000750999999993951,0.0006360000000000809,0.0006030000000052382,0.0004879999999971574,0.0005179999999995744,0.004558000000002949,0.0005699999999961847,0.0005000000000023874,0.00032099999999957163,0.00028300000000314185,9.099999999762076e-05,0.0013030000000000541,5.000000001587068e-06,0.00028100000000108594,0.00030999999999892225,0.00031800000000004047,9.1999999995096e-05,0.0012220000000056075,0.000324999999996578,0.0003150000000005093,0.0003129999999984534,0.00014000000000180535,0.0012040000000013151,0.00034799999999535203,0.0003950000000045861,0.00041300000000177306,0.00017899999999571037,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,165,679,679,165,165,165,1235,1235,1235,1235,243,1075,1235,1235,1235,403,915,1235,1235,1235,563,755,1235,1235,1235,723,1029,1514,1514,0.22419800000000123,1e-05,0.0006599999999963302,0.0007550000000051682,0.0006050000000001887,0.0005289999999931183,0.0005310000000022796,0.005113999999998953,0.0005039999999993938,0.0003240000000062082,0.0002819999999985612,9.1999999995096e-05,0.0013030000000000541,0.00028700000000014825,0.0003100000000060277,0.0003189999999975157,9.099999999762076e-05,0.0012210000000010268,0.00031800000000004047,0.00031800000000004047,0.00031200000000097816,0.0001200000000025625,0.0012270000000000891,0.0003469999999978768,0.0003600000000005821,0.0004369999999980223,0.00015900000000357295,0.20734399999999908,0.00015899999999646752,9.500000000173259e-05,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,29,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,539,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,0.21366700000000094,1e-05,8.100000000155205e-05,0.0012740000000022178,7.099999999837792e-05,0.00021600000000177033,7.399999999790907e-05,0.0003109999999963975,9.599999999920783e-05,0.00032099999999957163,0.00011800000000050659,0.0015619999999998413,7.80000000020209e-05,0.2056520000000006,0.00034600000000040154,3.999999999848569e-05,0.00012500000000414957,0.00011800000000050659,5.199999999661031e-05,0.0001260000000016248,0.0002420000000000755,0.00010400000000032605,5.099999999913507e-05,0.00011800000000050659,0.0002250000000003638,0.0006379999999950314,0.00015900000000357295,0.0005740000000002965,0.00015499999999946112,0.0005790000000018836,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
