@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute class {FILE-TRANSFER_gate_SFTP_filetransfer.pcap,CHAT_facebookchatgateway.pcap,MAIL_gate_Email_IMAP_filetransfer.pcap,VIDEO_Youtube_Flash_Gateway.pcap}
@data
167772687,3325347879,36922,443,4,597,597,1111,597,0.430474,1e-05,0.42953,0.0004369999999999652,0.00032599999999999296,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,60,60,60,60,0.5446219999999999,1e-05,0.429562,0.00039600000000000746,0.0003070000000000017,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,597,597,597,597,0.342356,1e-05,0.11962800000000001,0.11972299999999997,0.10297200000000006,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,4,54,54,54,54,0.343717,1e-05,0.11959399999999998,0.15719600000000006,0.06549299999999991,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,597,597,597,597,0.540551,1e-05,0.32609100000000013,0.14754,0.06687799999999999,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,4,54,54,54,54,3.242878,1e-05,0.10831199999999996,0.06688800000000006,3.065959,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,4,597,597,597,597,4.0202670000000005,1e-05,0.42562199999999994,3.265376,0.3289850000000003,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,60,60,60,60,4.339634,1e-05,0.42563700000000004,3.2653190000000003,0.32908199999999965,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,597,597,597,597,0.9747370000000002,1e-05,0.32166099999999975,0.3061100000000003,0.34539600000000004,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,4,597,597,597,597,0.9727040000000002,1e-05,0.30724700000000027,0.344163,0.32103199999999976,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,60,60,60,60,1.2838149999999997,1e-05,0.3071950000000001,0.344106,0.32111599999999996,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,597,597,597,597,0.7061280000000005,1e-05,0.31352400000000014,0.3087559999999998,0.07946900000000046,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
167772687,3325347879,36922,443,4,597,165,597,597,0.3912449999999996,1e-05,0.19054099999999963,0.1182610000000004,0.08220600000000022,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
3325347879,167772687,443,36922,4,60,60,60,60,0.594678,1e-05,0.190658,0.11820800000000009,0.08223299999999956,FILE-TRANSFER_gate_SFTP_filetransfer.pcap
