@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute feature_16 numeric
@Attribute feature_17 numeric
@Attribute feature_18 numeric
@Attribute feature_19 numeric
@Attribute feature_20 numeric
@Attribute feature_21 numeric
@Attribute feature_22 numeric
@Attribute feature_23 numeric
@Attribute feature_24 numeric
@Attribute feature_25 numeric
@Attribute feature_26 numeric
@Attribute feature_27 numeric
@Attribute feature_28 numeric
@Attribute feature_29 numeric
@Attribute feature_30 numeric
@Attribute feature_31 numeric
@Attribute class {MAIL_gate_Email_IMAP_filetransfer.pcap,MAIL_gate_POP_filetransfer.pcap,MAIL_Gateway_Thunderbird_Imap.pcap}
@data
3325347879,167772687,443,59960,13,60,60,60,60,60,60,60,60,60,60,60,1474,1474,2.9166600000000003,1e-05,0.00013500000000000003,0.00029399999999999994,0.789616,0.07001200000000007,0.1945499999999999,0.19929700000000006,0.3678060000000001,0.07028999999999996,0.23274700000000004,0.29128299999999974,0.700504,0.00010500000000002174,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,13,597,597,597,597,597,597,597,597,597,841,597,597,597,2.726707,1e-05,0.065222,0.08046500000000001,0.19361099999999998,0.20437700000000003,0.43400400000000006,0.23239599999999982,0.2918930000000002,0.34646299999999997,0.3584909999999999,0.06579999999999986,0.29295700000000036,0.160968,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,13,1235,205,597,597,597,597,597,597,597,1111,597,597,1111,3.743581,1e-05,0.00029500000000000007,0.7894019999999999,0.07008000000000003,0.1944990000000001,0.1993539999999998,0.36778900000000014,0.07035400000000003,0.23264099999999988,0.2912920000000001,0.7742489999999997,0.448944,0.3042720000000001,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,13,1514,1514,1514,54,54,54,54,54,54,54,54,54,54,4.10244,1e-05,0.000128,0.00038100000000000005,0.709563,0.06519999999999992,1.8224609999999999,0.31907299999999994,8.800000000031005e-05,5.100000000002325e-05,0.06585399999999986,0.3308970000000002,0.12301999999999991,0.5769709999999999,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,13,60,60,60,60,60,60,1474,1474,60,60,60,60,60,2.579044,1e-05,0.4490780000000001,0.30438399999999977,0.00042600000000003746,0.5272089999999996,0.0002980000000007976,0.7210359999999998,0.000128000000000128,0.012939999999999507,0.0009709999999998331,0.11277399999999993,0.3878180000000002,0.061830000000000496,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,13,597,597,597,597,597,841,597,597,597,597,597,597,597,2.179255,1e-05,0.24623499999999998,0.12786899999999957,0.16447400000000023,0.5366439999999999,0.1895150000000001,0.11814999999999998,0.10624400000000023,0.12835399999999986,0.15618399999999966,0.06480500000000067,0.1028399999999996,0.23787499999999984,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,13,54,54,54,54,54,54,54,54,54,54,54,54,54,2.7742240000000002,1e-05,0.16447700000000065,0.5747460000000002,0.151192,0.0001029999999992981,7.599999999996498e-05,0.260637,0.0921460000000005,0.15618199999999938,0.2036390000000008,0.20188999999999968,0.06492300000000029,0.6531919999999998,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,13,597,597,1111,1111,597,597,597,597,597,597,1111,597,597,3.1353700000000004,1e-05,0.527072,0.0004070000000000462,0.7340290000000005,0.0010159999999999059,0.1127180000000001,0.3877859999999993,0.06185300000000016,0.00038400000000038403,0.40535999999999994,0.11429400000000012,0.2958259999999999,0.4944069999999998,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,13,60,60,60,60,1474,60,60,60,60,60,60,60,60,3.419222999999999,1e-05,0.4055149999999994,0.11427800000000055,0.29581999999999997,0.4915199999999995,0.0028500000000004633,0.007651999999999326,0.7328100000000006,0.3512699999999995,0.23902499999999982,0.0741840000000007,0.42011299999999885,0.2841390000000015,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,13,597,1111,597,597,205,597,597,597,597,597,597,597,597,3.6652249999999995,1e-05,0.11275100000000027,0.2965099999999996,0.20476500000000009,0.29039699999999957,0.114147,0.6152640000000007,0.36316599999999966,0.2299679999999995,0.07585100000000011,0.3631410000000006,0.33812400000000054,0.6553589999999989,MAIL_gate_Email_IMAP_filetransfer.pcap
