@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute class {MAIL_gate_Email_IMAP_filetransfer.pcap,MAIL_gate_POP_filetransfer.pcap,MAIL_Gateway_Thunderbird_Imap.pcap}
@data
167772687,3325347879,59960,443,1,1514,0.000128,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,1514,0.000106,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,60,7.499999999999998e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,1235,6.000000000000005e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,60,0.00014,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,1514,9.500000000000003e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,205,5.8999999999999916e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,60,0.709346,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,597,6.300000000003525e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,54,0.06515899999999997,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,597,4.099999999995774e-05,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,54,0.014734000000000025,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,597,0.0002729999999999677,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,60,0.06541700000000006,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,597,0.004390000000000005,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,1,597,0.00020500000000001073,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,60,0.18901599999999996,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,1,597,0.005278000000000116,1e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
