@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute feature_16 numeric
@Attribute feature_17 numeric
@Attribute feature_18 numeric
@Attribute feature_19 numeric
@Attribute feature_20 numeric
@Attribute feature_21 numeric
@Attribute feature_22 numeric
@Attribute feature_23 numeric
@Attribute feature_24 numeric
@Attribute feature_25 numeric
@Attribute feature_26 numeric
@Attribute feature_27 numeric
@Attribute feature_28 numeric
@Attribute feature_29 numeric
@Attribute feature_30 numeric
@Attribute feature_31 numeric
@Attribute feature_32 numeric
@Attribute feature_33 numeric
@Attribute feature_34 numeric
@Attribute feature_35 numeric
@Attribute feature_36 numeric
@Attribute feature_37 numeric
@Attribute feature_38 numeric
@Attribute feature_39 numeric
@Attribute feature_40 numeric
@Attribute feature_41 numeric
@Attribute feature_42 numeric
@Attribute feature_43 numeric
@Attribute feature_44 numeric
@Attribute feature_45 numeric
@Attribute feature_46 numeric
@Attribute feature_47 numeric
@Attribute feature_48 numeric
@Attribute feature_49 numeric
@Attribute feature_50 numeric
@Attribute feature_51 numeric
@Attribute feature_52 numeric
@Attribute feature_53 numeric
@Attribute feature_54 numeric
@Attribute feature_55 numeric
@Attribute feature_56 numeric
@Attribute feature_57 numeric
@Attribute feature_58 numeric
@Attribute feature_59 numeric
@Attribute feature_60 numeric
@Attribute feature_61 numeric
@Attribute class {MAIL_gate_Email_IMAP_filetransfer.pcap,MAIL_gate_POP_filetransfer.pcap,MAIL_Gateway_Thunderbird_Imap.pcap}
@data
3325347879,167772687,443,59960,28,60,60,60,60,60,60,60,60,60,60,60,1474,1474,60,60,60,60,60,60,1474,1474,60,60,60,60,60,60,60,6.0849720000000005,1e-05,0.00013500000000000003,0.00029399999999999994,0.789616,0.07001200000000007,0.1945499999999999,0.19929700000000006,0.3678060000000001,0.07028999999999996,0.23274700000000004,0.29128299999999974,0.700504,0.00010500000000002174,0.07355500000000026,0.4490780000000001,0.30438399999999977,0.00042600000000003746,0.5272089999999996,0.0002980000000007976,0.7210359999999998,0.000128000000000128,0.012939999999999507,0.0009709999999998331,0.11277399999999993,0.3878180000000002,0.061830000000000496,0.0002740000000001075,0.4055149999999994,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,597,597,597,597,597,597,597,597,597,841,597,597,597,597,597,597,597,597,841,597,597,597,597,597,597,597,597,1111,5.379117,1e-05,0.065222,0.08046500000000001,0.19361099999999998,0.20437700000000003,0.43400400000000006,0.23239599999999982,0.2918930000000002,0.34646299999999997,0.3584909999999999,0.06579999999999986,0.29295700000000036,0.160968,0.29167999999999994,0.24623499999999998,0.12786899999999957,0.16447400000000023,0.5366439999999999,0.1895150000000001,0.11814999999999998,0.10624400000000023,0.12835399999999986,0.15618399999999966,0.06480500000000067,0.1028399999999996,0.23787499999999984,0.06493000000000038,0.11275100000000027,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,1514,1514,1514,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,6.879359,1e-05,0.000128,0.00038100000000000005,0.709563,0.06519999999999992,1.8224609999999999,0.31907299999999994,8.800000000031005e-05,5.100000000002325e-05,0.06585399999999986,0.3308970000000002,0.12301999999999991,0.5769709999999999,0.08881599999999956,0.16447700000000065,0.5747460000000002,0.151192,0.0001029999999992981,7.599999999996498e-05,0.260637,0.0921460000000005,0.15618199999999938,0.2036390000000008,0.20188999999999968,0.06492300000000029,0.6531919999999998,0.25109599999999954,0.00010700000000074539,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,1235,205,597,597,597,597,597,597,597,1111,597,597,1111,597,597,1111,1111,597,597,597,597,597,597,1111,597,597,1111,597,7.619730000000001,1e-05,0.00029500000000000007,0.7894019999999999,0.07008000000000003,0.1944990000000001,0.1993539999999998,0.36778900000000014,0.07035400000000003,0.23264099999999988,0.2912920000000001,0.7742489999999997,0.448944,0.3042720000000001,0.0007269999999999222,0.527072,0.0004070000000000462,0.7340290000000005,0.0010159999999999059,0.1127180000000001,0.3877859999999993,0.06185300000000016,0.00038400000000038403,0.40535999999999994,0.11429400000000012,0.2958259999999999,0.4944069999999998,0.007613000000000092,0.7327969999999997,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,60,60,1474,60,60,60,60,60,60,60,60,60,1474,1310,1310,1474,1474,1474,1474,60,1392,1474,1228,1310,1474,1474,60,1474,3.7753750000000004,1e-05,0.29581999999999997,0.4915199999999995,0.0028500000000004633,0.007651999999999326,0.7328100000000006,0.3512699999999995,0.23902499999999982,0.0741840000000007,0.42011299999999885,0.2841390000000015,0.00014799999999937086,0.6487619999999996,9.100000000117348e-05,0.004412999999999556,0.060871999999999815,6.199999999978445e-05,0.04625399999999935,0.00011500000000097543,0.0010999999999992127,0.006888000000000005,0.01086900000000135,6.49999999993156e-05,0.00010900000000013677,0.04630299999999998,0.018926999999999694,0.0014599999999997948,0.029516000000000986,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,1514,1514,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,2.8640290000000004,1e-05,0.5766450000000001,1.0713219999999994,0.2989460000000008,0.01192200000000021,9.699999999845943e-05,0.6490760000000009,0.004402000000000683,0.03958299999999859,0.021303000000001404,7.100000000015427e-05,5.799999999922534e-05,4.900000000063187e-05,0.04624699999999926,7.599999999996498e-05,5.400000000044258e-05,0.007939000000000362,0.010862999999998735,0.00011700000000125499,0.03723099999999846,0.009035000000000792,8.899999999911756e-05,0.001796000000000575,0.017133000000001175,6.899999999987472e-05,0.030944999999999112,0.00837500000000091,0.020526999999999518,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,597,597,205,597,597,597,597,597,597,597,597,1474,1474,838,1228,1392,1474,1474,1474,1474,1146,1474,1474,1474,662,1474,1474,1146,3.5130779999999993,1e-05,0.20476500000000009,0.29039699999999957,0.114147,0.6152640000000007,0.36316599999999966,0.2299679999999995,0.07585100000000011,0.3631410000000006,0.33812400000000054,0.6553589999999989,0.010181000000001106,0.060862999999999445,0.0002250000000003638,0.04637699999999967,0.007754000000000261,0.011008999999999602,0.00015600000000048908,0.04622700000000002,0.00011399999999994748,7.899999999949614e-05,0.018838000000000577,8.799999999986596e-05,1.2999999999152578e-05,4.900000000063187e-05,0.03923299999999941,0.020523000000000735,0.00019599999999897477,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1310,1474,1228,1474,1474,60,1474,1474,1310,1392,1474,1474,1474,1310,1474,1146,60,60,1474,1474,1474,1064,1310,1474,1392,60,1474,1474,0.25460499999999975,1e-05,0.008372999999998854,6.4000000000064e-05,0.020537000000000916,2.6999999999333113e-05,0.0011519999999993757,0.0035050000000005355,2.5000000000829914e-05,0.00015400000000020952,0.03891599999999862,0.00016300000000057935,0.050356999999999985,0.00013099999999965917,1.1999999999900979e-05,9.800000000126374e-05,1.1999999999900979e-05,0.0027569999999990102,0.0017040000000001498,0.01361200000000018,5.499999999969418e-05,3.5999999999702936e-05,7.000000000090267e-06,0.03496300000000119,9.000000000014552e-05,7.099999999837792e-05,0.0017250000000004206,0.07597699999999996,6.800000000062312e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,28,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,0.35835800000000084,1e-05,0.004683999999999244,7.700000000099294e-05,7.599999999996498e-05,0.014644999999999797,0.024437000000000708,0.04002199999999867,0.010336999999999819,7.400000000146179e-05,5.899999999847694e-05,5.500000000147054e-05,5.3999999998666226e-05,0.01808600000000027,4.7000000000352316e-05,3.500000000045134e-05,0.03497400000000006,9.399999999892827e-05,0.07777100000000026,7.300000000043383e-05,0.050340999999999525,0.07833000000000112,0.00020799999999887575,0.0029599999999998516,7.100000000015427e-05,6.800000000062312e-05,0.0004249999999998977,0.0002589999999997872,5.9000000000253294e-05,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,28,1228,1392,1474,1392,1392,569,1474,1474,1146,1474,1474,241,1474,1474,1310,1474,1474,1290,841,1474,1474,1228,1474,1146,1474,1474,1146,1474,0.41869200000000006,1e-05,1.4999999999432134e-05,6.000000000128125e-05,0.014348000000000027,0.0003019999999995804,0.024494999999999933,0.05008299999999899,0.00029199999999995896,1.3000000000928935e-05,0.00010400000000032605,1.0999999998873022e-05,0.01442300000000074,0.0037680000000008818,0.03494499999999867,0.00015500000000123748,0.07770799999999944,0.00013500000000021828,0.013111000000000317,0.11559600000000003,0.003102999999999412,9.900000000051534e-05,5.899999999847694e-05,0.0004170000000005558,0.00027599999999949887,0.00010700000000163357,0.02751499999999929,9.099999999939712e-05,0.037415000000001086,MAIL_gate_Email_IMAP_filetransfer.pcap
