@Relation test
@Attribute feature_0 numeric
@Attribute feature_1 numeric
@Attribute feature_2 numeric
@Attribute feature_3 numeric
@Attribute feature_4 numeric
@Attribute feature_5 numeric
@Attribute feature_6 numeric
@Attribute feature_7 numeric
@Attribute feature_8 numeric
@Attribute feature_9 numeric
@Attribute feature_10 numeric
@Attribute feature_11 numeric
@Attribute feature_12 numeric
@Attribute feature_13 numeric
@Attribute feature_14 numeric
@Attribute feature_15 numeric
@Attribute class {MAIL_gate_Email_IMAP_filetransfer.pcap,MAIL_gate_POP_filetransfer.pcap,MAIL_Gateway_Thunderbird_Imap.pcap}
@data
167772687,3325347879,59960,443,5,1514,1514,1514,54,54,0.790006,1e-05,0.000128,0.00038100000000000005,0.709563,0.06519999999999992,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,60,60,60,60,60,1.049073,1e-05,0.00013500000000000003,0.00029399999999999994,0.789616,0.07001200000000007,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,5,1235,205,597,597,597,1.054532,1e-05,0.00029500000000000007,0.7894019999999999,0.07008000000000003,0.1944990000000001,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,597,597,597,597,597,0.5439299999999999,1e-05,0.065222,0.08046500000000001,0.19361099999999998,0.20437700000000003,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,60,60,60,60,60,1.1571360000000002,1e-05,0.19929700000000006,0.3678060000000001,0.07028999999999996,0.23274700000000004,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,5,597,597,597,597,1111,0.9623249999999999,1e-05,0.36778900000000014,0.07035400000000003,0.23264099999999988,0.2912920000000001,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,597,597,597,597,841,1.229257,1e-05,0.23239599999999982,0.2918930000000002,0.34646299999999997,0.3584909999999999,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,5,54,54,54,54,54,0.39253099999999996,1e-05,0.31907299999999994,8.800000000031005e-05,5.100000000002325e-05,0.06585399999999986,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,60,1474,1474,60,60,1.5120720000000003,1e-05,0.700504,0.00010500000000002174,0.07355500000000026,0.4490780000000001,MAIL_gate_Email_IMAP_filetransfer.pcap
3325347879,167772687,443,59960,5,597,597,597,597,597,1.0309560000000002,1e-05,0.29295700000000036,0.160968,0.29167999999999994,0.24623499999999998,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,5,54,54,54,54,54,0.9575829999999996,1e-05,0.12301999999999991,0.5769709999999999,0.08881599999999956,0.16447700000000065,MAIL_gate_Email_IMAP_filetransfer.pcap
167772687,3325347879,59960,443,5,597,597,1111,597,597,1.2812609999999998,1e-05,0.448944,0.3042720000000001,0.0007269999999999222,0.527072,MAIL_gate_Email_IMAP_filetransfer.pcap
